,X,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,ArtistFamiliarity,Hotness,end_of_fade_in,key,Loudness,mode,mode_confidence,rank,hit
1,1,0.345,146.913,1,0,paint it black,1966,0.543393231,0.338575026,0.346,7,-11.027,0,0.59,21,1
2,2,0.354,71.999,3,0.639,dreams,1994,0.213312372,0.382524687,1.048,4,-10.773,0,0.393,75,0
3,3,0.148,122.616,1,0,do your thing,1969,0.447650638,0.334983998,0.2,7,-10.308,1,0.355,47,1
4,4,0.803,110.209,3,1,revolution,1968,0.431884978,0,0.118,2,-5.882,0,0.641,78,0
5,5,0.42,123.049,3,0.486,carry on wayward son,1977,0.595094172,0.413924379,0.148,7,-16.406,1,0.563,58,0
7,7,0.458,76.096,1,0.283,angel,2003,0.872536599,0.610731463,0,2,-5.763,1,0.642,69,0
8,8,0.712,132,4,0,is this love,1988,0.402326592,0.264102514,0,7,-6.464,0,0.508,17,1
9,9,0.519,101.713,1,0,little woman,1969,0.362800142,0.282286406,0.415,7,-14.663,1,0.5,41,1
10,10,0.035,185.021,4,0.64,just dance,2009,0.536507501,0.405836411,5.364,1,-13.686,0,0.342,3,1
11,11,0.645,167.631,4,0,revolution,1968,0.670994211,0.425661724,0,1,-4.057,0,0.63,78,0
12,12,0.529,109.902,4,1,knowing me knowing you,1977,0.367823866,0.25223164,0.665,2,-13.555,1,0.682,97,0
14,14,0.606,111.892,4,1,count on me,1996,0.45336311,0.368797899,0,9,-7.183,1,0.607,48,1
15,15,0,107.058,4,0.667,desire,1988,0.353190853,0.226591354,3.791,2,-14.581,1,0,56,0
16,16,0.878,130.03,4,1,sledgehammer,1986,0.504494994,0.301272194,0,4,-9.499,0,0.603,23,1
17,17,0.073,94.352,4,0.348,honey,1997,0.415753561,0.367415291,0.339,7,-11.953,1,0.309,32,1
18,18,0.879,66.828,1,0,try again,2000,0.741040433,0.496508119,0.207,7,-9.589,1,0.662,12,1
19,19,0.452,85.331,3,0,everytime,2004,0.947327507,0.631289508,2.926,0,-3.738,0,0.522,83,0
20,20,0.981,101.013,4,0.611,on and on,1977,0.697159734,0.512328859,5.55,5,-7.07,1,0.71,30,1
21,21,0.89,154.286,1,0,everyday,1994,0.467955066,0.324597714,0.316,7,-7.594,1,0.923,86,0
22,22,0.885,129.699,4,0,misled,1985,0.631708766,0.401506131,0.647,7,-8.203,1,0.993,69,0
23,23,0.067,100.002,4,0.589,give it up,1984,0.53075471,0.39053204,0,0,-4.137,1,0.313,75,0
24,24,0.764,147.893,4,0.522,numb,2004,0.032493428,0,0.229,7,-9.494,1,0.531,33,1
26,26,0.365,133.958,4,0.217,rockstar,2007,0.669032892,0.462805841,3.901,7,-5.844,0,0.452,36,1
28,28,0.833,115.808,4,0,freedom,1985,0.605423796,0.293749183,0.311,6,-6.227,1,0.663,76,0
29,29,0.222,129.996,3,0.735,faith,1988,0.504886948,0.410731286,0.2,5,-8.674,0,0.279,1,1
30,30,0.839,134.07,4,0.281,heaven,2004,0.613224251,0.454690154,0,11,-6.348,0,0.646,37,1
31,31,0.494,95.942,4,0.987,love to love you baby,1976,0.766590709,0.518765845,2.049,8,-16.596,1,0.51,41,1
32,32,0.776,110.015,4,0.538,never ever,1998,0.504836762,0.386725381,0.202,2,-6.39,1,0.617,42,1
33,33,0.422,131.007,3,0.467,me and bobby mcgee,1971,0.60056203,0.371731592,2.188,11,-11.269,1,0.483,11,1
34,34,0.579,118.295,1,0,lady marmalade,2001,0.540037749,0.360053307,0.15,2,-8.674,0,0.696,24,1
35,35,0.72,111.044,1,0,sweet inspiration,1968,0.695097639,0.520184924,0.067,9,-6.085,1,0.579,84,0
36,36,0.542,130.029,4,0.61,everyday,1994,0.563196232,0.332562517,4.226,7,-8.289,1,0.417,86,0
37,37,0.576,198.507,4,1,close your eyes,1967,0.658770491,0.359953168,0,5,-5.391,1,0.506,71,0
39,39,0.799,157.395,4,0.228,girlfriend,2007,0.210915838,0.404366766,0,9,-5.606,0,0.545,12,1
40,40,0.475,107.995,4,0,rain,1993,0.573218604,0.32658242,2.345,3,-5.169,1,0.656,67,0
41,41,0.764,114.664,4,0.259,sometimes when we touch,1978,0.451670276,0.422926648,0.229,4,-9.122,1,0.515,33,1
42,42,0.528,125.873,4,0.848,feels so good,1978,0.579049651,0.351847755,0.061,11,-6.756,0,0.475,21,1
43,43,0.559,92.501,4,0.176,white horse,2009,0.834496478,0.880879609,0.34,5,-8.92,1,0.585,76,0
44,44,0.673,185.109,4,0.299,girlfriend,2007,0.486314434,0.297868367,0.183,2,-4.697,1,0.635,12,1
45,45,0.052,131.634,4,0,yummy yummy yummy,1968,0.574117951,0.391242893,0.247,1,-13.517,1,0.416,38,1
47,47,0.605,172.485,4,0.502,get money,1996,0.44418473,0.326555905,0.415,11,-3.889,1,0.265,89,0
48,48,0.168,132.515,1,0,the logical song,1979,0.511024641,0.388625335,0,11,-7.494,0,0.34,27,1
49,49,0.524,120.934,4,0.775,how long,1975,0.538712195,0.425948047,0.096,5,-6.688,0,0.39,57,0
50,50,0.367,139.778,4,0.701,gone,2002,0.484311162,0.351841896,0.566,2,-4.866,1,0.452,75,0
